OldHostname,NewHostname,Site,Region,Role,CiscoModel,HuaweiModel,HuaweiSeries,PortCount,PoE,Status
SPLD-SWCO-OT,SPLD-SWCO-OT-5755H24T,SPLD,Plant,Core,WS-C3650-24TS-E,CloudEngine S5755-H24T4Y2CZ,S5755,24,No,Ready
SPLD-SWAC-OT-01,SPLD-SWAC-OT-01-5735L8T,SPLD,Plant,Access,Cisco Catalyst WS-C2960C-8TC-S,CloudEngine S5735-L8T4X-QA-V2,S5735-L,8,No,Ready
SPLD-SWAC-SH-2960,SPLD-SWDI-SH-5735S24T,SPLD,Plant,Access,Cisco Catalyst 9200L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
STR2-SWDI-MN-2960-DORM,STR2-SWDI-MN-DORM-5735S24T,STR2,Mining,Access,WS-C2960-24TC-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
STR2-SWAC-1-2960-DORM,STR2-SWAC-1-DORM-5735S24T,STR2,Mining,Access,WS-C2960S-24PS-L,CloudEngine S5735-S24P4XE-V2,S5735,24,Yes,Ready
STR2-SWDI-2-2960-DOKD,STR2-SWDI-2-DOKD-5735S24P,STR2,Mining,Access,WS-C2960X-24PS-L,CloudEngine S5735-S24P4XE-V2,S5735,24,Yes,Ready
STR2-SWDI-2-2960-HRGA,STR2-SWDI-2-HRGA-5735S24P,STR2,Mining,Access,WS-C2960X-24PS-L,CloudEngine S5735-S24P4XE-V2,S5735,24,Yes,Ready
STR2-SWDI-1-2960-HRGA,STR2-SWDI-1-HRGA-5735S24P,STR2,Mining,Access,WS-C2960X-24PS-L,CloudEngine S5735-S24P4XE-V2,S5735,24,Yes,Ready
STR2-SWAC-OT-TASTI,STR2-SWAC-OT-TASTI-5735S24T,STR2,Mining,Access,WS-C2960X-24TS-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
STR3-SWAC-OT-2960X,STR3-SWAC-OT-5735S24T,STR3,Mining,Access,WS-C2960X-24TS-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
TTC-SWCO-BU-N9108-DMZ,TTC-SWCO-BU-DMZ-5755H48M,TTC,Data Center,Core,N9K-C93108TC-EX-24,CloudEngine S5755-H48UM4Y2CZ,S5755,48,No,Ready
TTC-SWCO-MN-N9108-DMZ,TTC-SWCO-MN-DMZ-5755H48M,TTC,Data Center,Core,N9K-C93108TC-EX-24,CloudEngine S5755-H48UM4Y2CZ,S5755,48,No,Ready
TTC-SWCO-PABXGA-3650,TTC-SWCO-PABXGA-5755H24T,TTC,Data Center,Core,WS-C3650-24TS-S,CloudEngine S5755-H24T4Y2CZ,S5755,24,No,Ready
TTC-SWAC-PABXGA1-2540,TTC-SWAC-PABXGA1-5735S24P,TTC,Data Center,Access,HP Aruba JL357A 2540 24G PoE,CloudEngine S5735-S24P4XE-V2,S5735,24,Yes,Ready
TTC-SWAC-PABXGA3-2540,TTC-SWAC-PABXGA3-5735S24P,TTC,Data Center,Access,HP Aruba JL357A 2540 24G PoE,CloudEngine S5735-S24P4XE-V2,S5735,24,Yes,Ready
TTC-SWAC-LAN-2960,TTC-SWAC-LAN-5735S48T,TTC,Data Center,Access,WS-C2960-48TC-L,CloudEngine S5735-S48T4XE-V2,S5735,48,No,Ready
TTC-SWDI-C-3560,TTC-SWDI-C-5735S24P,TTC,Data Center,Distribution,WS-C3560X-24P-S,CloudEngine S5735-S24P4XE-V2,S5735,24,Yes,Ready
TTC-SWAC-SDWAN-TGN01,TTC-SWAC-SDWAN-TGN01-5735S24T,TTC,Data Center,Access,WS-C2960X-24TS-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
TTC-SWAC-SDWAN-TGN02,TTC-SWAC-SDWAN-TGN02-5735S24T,TTC,Data Center,Access,WS-C2960X-24TS-L,CloudEngine S5735-S24T4XE-V2,S5735,24,No,Ready
