OldHostname,CiscoModel,NewHostname,HuaweiModel,HuaweiShort,PortCount,PoE,Role
STR2-SWDI-2-2960-HRGA,WS-C2960X-24PS-L,STR2-SWDI-2-HRGA-5735S24P,CloudEngine S5735-S24P4XE-V2,S5735-S24P,24,Yes,Access
STR2-SWDI-1-2960-HRGA,WS-C2960X-24PS-L,STR2-SWDI-1-HRGA-5735S24P,CloudEngine S5735-S24P4XE-V2,S5735-S24P,24,Yes,Access
STR2-SWAC-OT-TASTI,WS-C2960X-24TS-L,STR2-SWAC-OT-TASTI-5735S24T,CloudEngine S5735-S24T4XE-V2,S5735-S24T,24,No,Access
STR3-SWAC-OT-2960X,WS-C2960X-24TS-L,STR3-SWAC-OT-5735S24T,CloudEngine S5735-S24T4XE-V2,S5735-S24T,24,No,Access
TTC-SWCO-BU-N9108-DMZ,N9K-C93108TC-EX-24,TTC-SWCO-BU-DMZ-5755H48M,CloudEngine S5755-H48UM4Y2CZ,S5755-H48UM,48,No,Core
TTC-SWCO-MN-N9108-DMZ,N9K-C93108TC-EX-24,TTC-SWCO-MN-DMZ-5755H48M,CloudEngine S5755-H48UM4Y2CZ,S5755-H48UM,48,No,Core
TTC-SWCO-PABXGA-3650,WS-C3650-24TS-S,TTC-SWCO-PABXGA-5755H24T,CloudEngine S5755-H24T4Y2CZ,S5755-H24T,24,No,Core
TTC-SWAC-PABXGA1-2540,HP Aruba JL357A 2540 24G PoE,TTC-SWAC-PABXGA1-5735S24P,CloudEngine S5735-S24P4XE-V2,S5735-S24P,24,Yes,Access
TTC-SWAC-PABXGA3-2540,HP Aruba JL357A 2540 24G PoE,TTC-SWAC-PABXGA3-5735S24P,CloudEngine S5735-S24P4XE-V2,S5735-S24P,24,Yes,Access
TTC-SWAC-LAN-2960,WS-C2960-48TC-L,TTC-SWAC-LAN-5735S48T,CloudEngine S5735-S48T4XE-V2,S5735-S48T,48,No,Access
TTC-SWDI-C-3560,WS-C3560X-24P-S,TTC-SWDI-C-5735S24P,CloudEngine S5735-S24P4XE-V2,S5735-S24P,24,Yes,Distribution
TTC-SWAC-SDWAN-TGN01,WS-C2960X-24TS-L,TTC-SWAC-SDWAN-TGN01-5735S24T,CloudEngine S5735-S24T4XE-V2,S5735-S24T,24,No,Access
TTC-SWAC-SDWAN-TGN02,WS-C2960X-24TS-L,TTC-SWAC-SDWAN-TGN02-5735S24T,CloudEngine S5735-S24T4XE-V2,S5735-S24T,24,No,Access
